ID,Title,Link,Team,Project,Milestone,Release,Completed,Pillar,OKR_primary,OKR_link,OKR_secondary,Investment,Effort,Priority,Labels
PRO-50,Keep screen on (dimmed) during recording,https://linear.app/ditto-care/issue/PRO-50/keep-screen-on-dimmed-during-recording,Product,(none),,1.9.5,2026-04-29,Convenience,O2-KR2,Inferred,,Improvement,S,No priority,maintenance;1.9.5
PRO-229,Fix alignment buttons,https://linear.app/ditto-care/issue/PRO-229/fix-alignment-buttons,Product,(none),,1.9.5,2026-04-30,Fundamentals,—,None (BAU/foundational),,Bug fix,XS,Medium,mobile;must-ship;1.9.5
PRO-245,CIO: Set up email to all people to invite someone into Care Circle plus ambassador invitation.,https://linear.app/ditto-care/issue/PRO-245/cio-set-up-email-to-all-people-to-invite-someone-into-care-circle-plus,Product,(none),,,2026-04-30,Connection,O2-KR3,Inferred,,Lifecycle/CRM,S,No priority,
PRO-263,Generate a Welcome Series for anyone that hasn't filled in a care type.,https://linear.app/ditto-care/issue/PRO-263/generate-a-welcome-series-for-anyone-that-hasnt-filled-in-a-care-type,Product,(none),,,2026-04-30,Convenience,O2-KR2,Inferred,,Lifecycle/CRM,S,No priority,
PRO-60,Configure and run A/B test between old and new AI pipelines,https://linear.app/ditto-care/issue/PRO-60/configure-and-run-ab-test-between-old-and-new-ai-pipelines,Product,AI Quality — Tune Evals and Guardrails,A/B test old vs new pipeline,,2026-04-30,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,L,High,ai
PRO-169,Reactive google account for Jasper,https://linear.app/ditto-care/issue/PRO-169/reactive-google-account-for-jasper,Product,(none),,,2026-05-01,Fundamentals,—,None (BAU/foundational),,Team/internal ops,XS,No priority,
PRO-265,Apply all necessary terrraform migrations to migrate to Supabase,https://linear.app/ditto-care/issue/PRO-265/apply-all-necessary-terrraform-migrations-to-migrate-to-supabase,Product,(none),,,2026-05-01,Fundamentals,—,None (BAU/foundational),,Infra/platform,S,No priority,
PRO-108,Directive care circle onboarding: relationship-specific prompts,https://linear.app/ditto-care/issue/PRO-108/directive-care-circle-onboarding-relationship-specific-prompts,Product,Care Circle 3.0,P2 - Invitation Flow,,2026-05-04,Connection,O2-KR3,Linear-linked,O2-KR4,New feature,L,No priority,Feature
PRO-126,"Improve conversation explainer quality (actionability, term explanations, hallucinations)",https://linear.app/ditto-care/issue/PRO-126/improve-conversation-explainer-quality-actionability-term-explanations,Product,AI Quality — Tune Evals and Guardrails,,,2026-05-04,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,L,High,
PRO-13,Implement Supabase infrastructure,https://linear.app/ditto-care/issue/PRO-13/implement-supabase-infrastructure,Product,Migrate Away from Auth0,,,2026-05-04,Fundamentals,O2-KR3,Linear-linked,O1-KR4,Infra/platform,L,High,
PRO-187,Publish conversation categorization metadata to Azure Event Hub (ai-core),https://linear.app/ditto-care/issue/PRO-187/publish-conversation-categorization-metadata-to-azure-event-hub-ai,Product,Improved analytics data on personas and life moment audiences,Langfuse → Mixpanel Integration,,2026-05-04,Clarity,O2-KR4,Linear-linked,O2-KR2,AI quality,L,High,ai;backend;Feature
PRO-209,Implement glass header + controls,https://linear.app/ditto-care/issue/PRO-209/implement-glass-header-controls,Product,Move to Liquid Glass UI (iOS 26+),First implementation,,2026-05-04,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,mobile
PRO-236,"Run Customer Engagement Platform Phase 5 — content, feedback & optimization",https://linear.app/ditto-care/issue/PRO-236/run-customer-engagement-platform-phase-5-content-feedback-and,Product,Growth: Customer.io,,,2026-05-04,Convenience,O2-KR4,Linear-linked,O2-KR2,Team/internal ops,M,No priority,
PRO-237,Author all Customer.io content emails,https://linear.app/ditto-care/issue/PRO-237/author-all-customerio-content-emails,Product,Growth: Customer.io,,,2026-05-04,Convenience,O2-KR4,Linear-linked,O2-KR2,Lifecycle/CRM,M,No priority,
PRO-267,Date/time picker on Android: time selector doesn't open when tapping time,https://linear.app/ditto-care/issue/PRO-267/datetime-picker-on-android-time-selector-doesnt-open-when-tapping-time,Product,(none),,1.9.5,2026-05-04,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,Bug;1.9.5
PRO-29,Upgrade doc explainer with best practices conversation,https://linear.app/ditto-care/issue/PRO-29/upgrade-doc-explainer-with-best-practices-conversation,Product,AI Quality — Tune Evals and Guardrails,Guardrails and fallback infrastructure ready,,2026-05-04,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,L,No priority,ai;Improvement
PRO-262,"[iOS] After creating an event from a file, the wrong category is assigned",https://linear.app/ditto-care/issue/PRO-262/ios-after-creating-an-event-from-a-file-the-wrong-category-is-assigned,Product,(none),,1.9.5,2026-05-05,Fundamentals,—,None (BAU/foundational),,Bug fix,S,No priority,1.9.5
PRO-287,Android: fingerprint scan does nothing on Xiaomi Redmi Note 11 Pro 5G during onboarding security step,https://linear.app/ditto-care/issue/PRO-287/android-fingerprint-scan-does-nothing-on-xiaomi-redmi-note-11-pro-5g,Product,(none),,1.9.5,2026-05-05,Fundamentals,—,None (BAU/foundational),,Bug fix,S,Urgent,1.9.5
PRO-182,Create & distribute Lyssna survey for general app usage insights,https://linear.app/ditto-care/issue/PRO-182/create-and-distribute-lyssna-survey-for-general-app-usage-insights,Product,(none),,,2026-05-06,Fundamentals,—,None (BAU/foundational),,Research/discovery,L,High,Research
PRO-273,Update app store images + release notes,https://linear.app/ditto-care/issue/PRO-273/update-app-store-images-release-notes,Product,(none),,,2026-05-06,Fundamentals,—,None (BAU/foundational),,Content/creative,S,No priority,mobile;must-ship
PRO-274,Update Calendar Sync Activation Flow.,https://linear.app/ditto-care/issue/PRO-274/update-calendar-sync-activation-flow,Product,Calendar Integration,Push Integration,,2026-05-06,Convenience,O2-KR2,Linear-linked,O2-KR4,New feature,S,Urgent,
PRO-289,Update growth repo structure remove all personal files to separate folder,https://linear.app/ditto-care/issue/PRO-289/update-growth-repo-structure-remove-all-personal-files-to-separate,Product,(none),,,2026-05-06,Fundamentals,—,None (BAU/foundational),,Infra/platform,S,No priority,
PRO-149,[WIP] One-shot email nudging users to add followers to their care circle (A/B/C test),https://linear.app/ditto-care/issue/PRO-149/wip-one-shot-email-nudging-users-to-add-followers-to-their-care-circle,Product,Care Circle 3.0,P2 - Invitation Flow,,2026-05-07,Connection,O2-KR3,Linear-linked,O2-KR4,Process/tooling,L,Medium,
PRO-154,Bundled summary + follow-request on WhatsApp share (opt-in default),https://linear.app/ditto-care/issue/PRO-154/bundled-summary-follow-request-on-whatsapp-share-opt-in-default,Product,Care Circle 3.0,P2 - Invitation Flow,,2026-05-07,Connection,O2-KR3,Linear-linked,O2-KR4,Design polish,S,High,design-polish
PRO-184,Release review: evaluate DP-154 and decide ramp / iterate (default eval cycle v1),https://linear.app/ditto-care/issue/PRO-184/release-review-evaluate-dp-154-and-decide-ramp-iterate-default-eval,Product,Care Circle 3.0,P2 - Invitation Flow,,2026-05-07,Connection,O2-KR3,Linear-linked,O2-KR4,Design polish,S,High,design-polish
PRO-164,Design: Smart Answer Entry for Preparation Questions,https://linear.app/ditto-care/issue/PRO-164/design-smart-answer-entry-for-preparation-questions,Product,Appointment Preparation,[MOVED → AI Answer Suggestions project],,2026-05-08,Clarity,O2-KR4,Linear-linked,O2-KR2,AI quality,L,Medium,
PRO-211,Design research: replace custom ActionDialog with native one,https://linear.app/ditto-care/issue/PRO-211/design-research-replace-custom-actiondialog-with-native-one,Product,(none),,,2026-05-08,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,design-polish
PRO-332,Ship idea intake via Linear AI (replace Slack Workflow),https://linear.app/ditto-care/issue/PRO-332/ship-idea-intake-via-linear-ai-replace-slack-workflow,Product,Growth: Team Way of Working (WoW),,,2026-05-08,Fundamentals,—,None (BAU/foundational),,Team/internal ops,S,High,
PRO-246,CIO: QA Welcome Series 1A,https://linear.app/ditto-care/issue/PRO-246/cio-qa-welcome-series-1a,Product,(none),,,2026-05-11,Convenience,O2-KR2,Inferred,,Lifecycle/CRM,M,No priority,
PRO-247,Onboarding Wouter,https://linear.app/ditto-care/issue/PRO-247/onboarding-wouter,Product,(none),,,2026-05-11,Fundamentals,—,None (BAU/foundational),,Team/internal ops,M,No priority,
PRO-294,Intent survey not visible in app,https://linear.app/ditto-care/issue/PRO-294/intent-survey-not-visible-in-app,Product,(none),,,2026-05-11,Convenience,O2-KR2,Inferred,,Bug fix,M,Urgent,
PRO-319,Fix push notification delivery in Customer.io welcome campaigns,https://linear.app/ditto-care/issue/PRO-319/fix-push-notification-delivery-in-customerio-welcome-campaigns,Product,(none),,,2026-05-11,Convenience,O2-KR2,Inferred,,Bug fix,S,No priority,Bug
PRO-337,Patrick Collison,https://linear.app/ditto-care/issue/PRO-337/patrick-collison,Product,15ftes: Person Research,,,2026-05-11,Fundamentals,O1-KR2,Linear-linked,,B2B/partner ops,S,Medium,
PRO-213,Investigate technical scope and effort for multi-profile,https://linear.app/ditto-care/issue/PRO-213/investigate-technical-scope-and-effort-for-multi-profile,Product,Multi-profile / Managed accounts,,,2026-05-12,Connection,O2-KR3,Linear-linked,O2-KR4,Research/discovery,M,No priority,
PRO-220,Process user deletion request,https://linear.app/ditto-care/issue/PRO-220/process-user-deletion-request,Product,(none),,,2026-05-12,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,High,maintenance
PRO-226,[SPIKE] Pull integration — technical feasibility & architecture,https://linear.app/ditto-care/issue/PRO-226/spike-pull-integration-technical-feasibility-and-architecture,Product,Calendar Integration,Pull Integration,1.9.5,2026-05-12,Convenience,O2-KR2,Linear-linked,O2-KR4,Research/discovery,M,No priority,1.9.5
PRO-282,Build experiment monitoring dashboard in Mixpanel,https://linear.app/ditto-care/issue/PRO-282/build-experiment-monitoring-dashboard-in-mixpanel,Product,(none),,,2026-05-12,Fundamentals,O1-KR4,Inferred,,Analytics/tracking,S,High,
PRO-295,Align text style spacing in Insights cards and Articles cards,https://linear.app/ditto-care/issue/PRO-295/align-text-style-spacing-in-insights-cards-and-articles-cards,Product,(none),,,2026-05-12,Fundamentals,—,None (BAU/foundational),,Design polish,XS,High,mobile;design-polish
PRO-303,Define repo collaboration rhythm for ditto-growth,https://linear.app/ditto-care/issue/PRO-303/define-repo-collaboration-rhythm-for-ditto-growth,Product,Growth: Team Way of Working (WoW),,,2026-05-12,Fundamentals,—,None (BAU/foundational),,Infra/platform,S,No priority,
PRO-313,Meeting rhythm Wouter x Niek,https://linear.app/ditto-care/issue/PRO-313/meeting-rhythm-wouter-x-niek,Product,Growth: Team Way of Working (WoW),,,2026-05-12,Fundamentals,—,None (BAU/foundational),,Team/internal ops,XS,No priority,
PRO-321,Disable option to not log in to Ditto,https://linear.app/ditto-care/issue/PRO-321/disable-option-to-not-log-in-to-ditto,Product,(none),,,2026-05-12,Fundamentals,—,None (BAU/foundational),,Team/internal ops,S,Urgent,source:slack-intake;risce:high
PRO-359,Build App Store Connect API support for reviews,https://linear.app/ditto-care/issue/PRO-359/build-app-store-connect-api-support-for-reviews,Product,(none),,,2026-05-12,Fundamentals,—,None (BAU/foundational),,Analytics/tracking,S,High,
PRO-362,Fix copy issue of Discover Loves Ones tab,https://linear.app/ditto-care/issue/PRO-362/fix-copy-issue-of-discover-loves-ones-tab,Product,(none),,,2026-05-12,Convenience,O2-KR2,Inferred,,Bug fix,XS,Urgent,
PRO-7,Template content card sheet,https://linear.app/ditto-care/issue/PRO-7/template-content-card-sheet,Product,Dedicated Discover Tab,,,2026-05-12,Convenience,O2-KR2,Project-mapped,O2-KR2,New feature,L,Medium,mobile;Feature
PRO-120,Push notification testing for summary sharers without care circle,https://linear.app/ditto-care/issue/PRO-120/push-notification-testing-for-summary-sharers-without-care-circle,Product,Care Circle 3.0,P2 - Invitation Flow,,2026-05-13,Connection,O2-KR3,Linear-linked,O2-KR4,Team/internal ops,S,High,
PRO-139,Make Gemini-improved prompts for both pipelines,https://linear.app/ditto-care/issue/PRO-139/make-gemini-improved-prompts-for-both-pipelines,Product,AI Quality — Tune Evals and Guardrails,Google provider live as fallback,,2026-05-13,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,L,No priority,ai;Improvement
PRO-160,[iOS] Recording summary is generated in device system language instead of the language selected in app settings.,https://linear.app/ditto-care/issue/PRO-160/ios-recording-summary-is-generated-in-device-system-language-instead,Product,(none),,,2026-05-13,Clarity,O1-KR3,Inferred,,Bug fix,S,No priority,Bug
PRO-199,[Android] Data not loading when accepting an invitation from a link.,https://linear.app/ditto-care/issue/PRO-199/android-data-not-loading-when-accepting-an-invitation-from-a-link,Product,(none),,,2026-05-13,Connection,O2-KR3,Inferred,,Bug fix,S,No priority,
PRO-239,Implement Customer.io → Survicate survey relay via background push,https://linear.app/ditto-care/issue/PRO-239/implement-customerio-survicate-survey-relay-via-background-push,Product,Implement Survicate,,,2026-05-13,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Research/discovery,L,High,mobile;Feature
PRO-268,Notes editor on iPhone: cursor jumps away (often downward) while editing,https://linear.app/ditto-care/issue/PRO-268/notes-editor-on-iphone-cursor-jumps-away-often-downward-while-editing,Product,(none),,,2026-05-13,Clarity,O2-KR4,Inferred,,Bug fix,S,High,Bug
PRO-275,Profile photo rotates 90° when selected on Android (Samsung Galaxy A26 5G),https://linear.app/ditto-care/issue/PRO-275/profile-photo-rotates-90-when-selected-on-android-samsung-galaxy-a26,Product,(none),,,2026-05-13,Fundamentals,—,None (BAU/foundational),,Bug fix,S,Medium,Bug;mobile
PRO-318,"Track ""I don't have an appointment"" tap",https://linear.app/ditto-care/issue/PRO-318/track-i-dont-have-an-appointment-tap,Product,(none),,,2026-05-13,Convenience,O2-KR2,Inferred,,Analytics/tracking,S,No priority,
PRO-364,Populate production Survicate workspace key for iOS + Android,https://linear.app/ditto-care/issue/PRO-364/populate-production-survicate-workspace-key-for-ios-android,Product,Implement Survicate,,,2026-05-13,Fundamentals,O2-KR4,Linear-linked,O1-KR4,Team/internal ops,S,Medium,mobile
PRO-365,CIO Data-Out: journey/campaign email events not flowing to Mixpanel,https://linear.app/ditto-care/issue/PRO-365/cio-data-out-journeycampaign-email-events-not-flowing-to-mixpanel,Product,(none),,,2026-05-13,Fundamentals,—,None (BAU/foundational),,Lifecycle/CRM,S,High,
PRO-382,Invite Loved Ones (activation panel): incorrect video thumbnail — replace with correct story thumbnails,https://linear.app/ditto-care/issue/PRO-382/invite-loved-ones-activation-panel-incorrect-video-thumbnail-replace,Product,(none),,,2026-05-13,Connection,O2-KR3,Inferred,,Bug fix,XS,High,mobile;Bug
PRO-205,[Implementation] Editable summaries,https://linear.app/ditto-care/issue/PRO-205/implementation-editable-summaries,Product,(none),,,2026-05-14,Clarity,O2-KR4,Inferred,,New feature,L,No priority,Feature
PRO-286,"""Leave a review!"" notification link doesn't work on Android",https://linear.app/ditto-care/issue/PRO-286/leave-a-review-notification-link-doesnt-work-on-android,Product,(none),,,2026-05-14,Convenience,O2-KR2,Inferred,,Bug fix,S,No priority,
PRO-387,Make Linear Release,https://linear.app/ditto-care/issue/PRO-387/make-linear-release,Product,(none),,,2026-05-14,Fundamentals,—,None (BAU/foundational),,Release ops,S,No priority,
PRO-317,Redesign ActionDialogs,https://linear.app/ditto-care/issue/PRO-317/redesign-actiondialogs,Product,(none),,,2026-05-15,Fundamentals,—,None (BAU/foundational),,Design system,S,No priority,Research;design-polish
PRO-404,Questions library: Save (N) shows 0 on re-entry; deselecting doesn't remove from event,https://linear.app/ditto-care/issue/PRO-404/questions-library-save-n-shows-0-on-re-entry-deselecting-doesnt-remove,Product,(none),,,2026-05-15,Clarity,O2-KR4,Inferred,,Bug fix,S,No priority,
PRO-331,Review handwritten cards miniwebsite during this afternoon's demo,https://linear.app/ditto-care/issue/PRO-331/review-handwritten-cards-miniwebsite-during-this-afternoons-demo,Product,(none),,,2026-05-17,Fundamentals,—,None (BAU/foundational),,Content/creative,M,No priority,
PRO-105,Map user touchpoints for sending / receiving invitations,https://linear.app/ditto-care/issue/PRO-105/map-user-touchpoints-for-sending-receiving-invitations,Product,Care Circle 3.0,Low hanging UX fixes,,2026-05-18,Connection,O2-KR3,Linear-linked,O2-KR4,Research/discovery,L,High,
PRO-11,[Spike] Design ad-hoc dev environment provisioning on Azure,https://linear.app/ditto-care/issue/PRO-11/spike-design-ad-hoc-dev-environment-provisioning-on-azure,Product,Staging Backend Environment,,,2026-05-18,Fundamentals,—,None (BAU/foundational),,Research/discovery,M,High,
PRO-232,[Backend] Cancel + Send-reminder endpoints for pending Care Circle invitations,https://linear.app/ditto-care/issue/PRO-232/backend-cancel-send-reminder-endpoints-for-pending-care-circle,Product,Care Circle 3.0,Low hanging UX fixes,,2026-05-18,Connection,O2-KR3,Linear-linked,O2-KR4,Infra/platform,L,High,
PRO-347,Evaluate feature flag and push to 100% is okay,https://linear.app/ditto-care/issue/PRO-347/evaluate-feature-flag-and-push-to-100percent-is-okay,Product,Improved analytics data on personas and life moment audiences,Langfuse → Mixpanel Integration,,2026-05-18,Fundamentals,O2-KR4,Linear-linked,O2-KR2,Process/tooling,S,High,
PRO-371,[Wouter] Enable and authenticate Growth MCPs in Cursor,https://linear.app/ditto-care/issue/PRO-371/wouter-enable-and-authenticate-growth-mcps-in-cursor,Product,Growth: Team Way of Working (WoW),,,2026-05-18,Fundamentals,—,None (BAU/foundational),,Team/internal ops,S,No priority,
PRO-383,[Design QA] Summary context menu (Edit / Copy) — iOS polish,https://linear.app/ditto-care/issue/PRO-383/design-qa-summary-context-menu-edit-copy-ios-polish,Product,(none),,,2026-05-18,Clarity,O2-KR4,Inferred,,Improvement,S,Medium,design-polish;mobile;Improvement
PRO-390,Spec follow-up data contract on the conversation explainer response,https://linear.app/ditto-care/issue/PRO-390/spec-follow-up-data-contract-on-the-conversation-explainer-response,Product,Appointment Preparation,AI Suggest follow up appointment,,2026-05-18,Clarity,O2-KR4,Linear-linked,O2-KR2,AI quality,M,No priority,AI-Generated Claude;Research
PRO-403,Replace Smiirl counter LLM automation with cron script,https://linear.app/ditto-care/issue/PRO-403/replace-smiirl-counter-llm-automation-with-cron-script,Product,(none),,,2026-05-18,Convenience,O2-KR2,Inferred,,Analytics/tracking,S,Low,
PRO-405,Design UK localization for app launch,https://linear.app/ditto-care/issue/PRO-405/design-uk-localization-for-app-launch,Product,(none),,,2026-05-18,Convenience,O1-KR3,Inferred,,Team/internal ops,S,No priority,
PRO-224,Implement: Resolve dead end for unanswered Care Circle follow-back request,https://linear.app/ditto-care/issue/PRO-224/implement-resolve-dead-end-for-unanswered-care-circle-follow-back,Product,Care Circle 3.0,Low hanging UX fixes,,2026-05-19,Connection,O2-KR3,Linear-linked,O2-KR4,Bug fix,L,High,mobile
PRO-308,Enforce PR review and branch protection policy,https://linear.app/ditto-care/issue/PRO-308/enforce-pr-review-and-branch-protection-policy,Product,Growth: Team Way of Working (WoW),,,2026-05-19,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,M,No priority,
PRO-432,Add explicit consent opt-in checkboxes,https://linear.app/ditto-care/issue/PRO-432/add-explicit-consent-opt-in-checkboxes,Product,(none),,,2026-05-19,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,No priority,
PRO-437,Determine whether email sending needs explicit consent,https://linear.app/ditto-care/issue/PRO-437/determine-whether-email-sending-needs-explicit-consent,Product,(none),,,2026-05-19,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,No priority,
PRO-454,Reach out to hospitals in Rotterdam,https://linear.app/ditto-care/issue/PRO-454/reach-out-to-hospitals-in-rotterdam,Product,"EXP-B2B: A2 — one project, 3 milestones",M1 — Company Research,,2026-05-19,Fundamentals,O2-KR1,Project-mapped,O1-KR2,B2B/partner ops,S,No priority,
PRO-455,Reach out to hospitals in Rotterdam,https://linear.app/ditto-care/issue/PRO-455/reach-out-to-hospitals-in-rotterdam,Product,EXP-B2B: A3 Step 1 — Company Research,,,2026-05-19,Fundamentals,O2-KR1,Project-mapped,O1-KR2,B2B/partner ops,S,No priority,
PRO-458,Company A,https://linear.app/ditto-care/issue/PRO-458/company-a,Product,"EXP-B2B: A2 — one project, 3 milestones",M2 — People Research,,2026-05-19,Fundamentals,O2-KR1,Project-mapped,O1-KR2,B2B/partner ops,S,No priority,
PRO-460,Company A,https://linear.app/ditto-care/issue/PRO-460/company-a,Product,EXP-B2B: A3 Step 2 — People Research,,,2026-05-19,Fundamentals,O2-KR1,Project-mapped,O1-KR2,B2B/partner ops,S,No priority,
PRO-278,Select & spec first pilot experiment,https://linear.app/ditto-care/issue/PRO-278/select-and-spec-first-pilot-experiment,Product,(none),,,2026-05-20,Fundamentals,O1-KR4,Inferred,,Process/tooling,S,High,
PRO-316,[Design] Suggest follow-up appointment on timeline,https://linear.app/ditto-care/issue/PRO-316/design-suggest-follow-up-appointment-on-timeline,Product,Appointment Preparation,AI Suggest follow up appointment,,2026-05-20,Clarity,O2-KR4,Linear-linked,O2-KR2,New feature,L,No priority,Feature
PRO-333,Design pull-integration flow,https://linear.app/ditto-care/issue/PRO-333/design-pull-integration-flow,Product,Calendar Integration,Pull Integration - Local Only,,2026-05-20,Convenience,O2-KR2,Linear-linked,O2-KR4,Team/internal ops,M,No priority,
PRO-350,Loved ones flow fails to load and invite action stalls,https://linear.app/ditto-care/issue/PRO-350/loved-ones-flow-fails-to-load-and-invite-action-stalls,Product,(none),,,2026-05-20,Connection,O2-KR3,Inferred,,Bug fix,S,Urgent,mobile;Bug;must-ship
PRO-360,Give us feedback feature does not work in UK app,https://linear.app/ditto-care/issue/PRO-360/give-us-feedback-feature-does-not-work-in-uk-app,Product,(none),,,2026-05-20,Convenience,O1-KR3,Inferred,,Bug fix,S,High,needs-info;mobile;Bug
PRO-373,Appointment prep flow (Customer.io),https://linear.app/ditto-care/issue/PRO-373/appointment-prep-flow-customerio,Product,(none),,,2026-05-20,Convenience,O2-KR2,Inferred,,Lifecycle/CRM,M,High,
PRO-379,Add content to profile completion campaign,https://linear.app/ditto-care/issue/PRO-379/add-content-to-profile-completion-campaign,Product,(none),,,2026-05-20,Fundamentals,—,None (BAU/foundational),,Lifecycle/CRM,S,Medium,
PRO-396,Process user deletion request,https://linear.app/ditto-care/issue/PRO-396/process-user-deletion-request,Product,(none),,,2026-05-20,Fundamentals,—,None (BAU/foundational),,Compliance/privacy,S,Urgent,maintenance
PRO-411,Region-aware app content via Storefront (start with UK variant),https://linear.app/ditto-care/issue/PRO-411/region-aware-app-content-via-storefront-start-with-uk-variant,Product,(none),,,2026-05-20,Convenience,O1-KR3,Inferred,,New feature,S,High,
PRO-427,Add Ditto Highlight for Edit/Copy summary sections to drive discovery among existing users,https://linear.app/ditto-care/issue/PRO-427/add-ditto-highlight-for-editcopy-summary-sections-to-drive-discovery,Product,(none),,,2026-05-20,Clarity,O2-KR4,Inferred,,Improvement,XS,No priority,Improvement;mobile;design-polish
PRO-374,Profile completion broadcast (Customer.io),https://linear.app/ditto-care/issue/PRO-374/profile-completion-broadcast-customerio,Product,(none),,,2026-05-21,Convenience,O2-KR2,Inferred,,Lifecycle/CRM,S,Medium,
PRO-378,Build profile completion broadcast in Customer.io,https://linear.app/ditto-care/issue/PRO-378/build-profile-completion-broadcast-in-customerio,Product,(none),,,2026-05-21,Convenience,O2-KR2,Inferred,,Lifecycle/CRM,S,Medium,
PRO-47,Experiment: Remove confirmation from Care Circle invite flow,https://linear.app/ditto-care/issue/PRO-47/experiment-remove-confirmation-from-care-circle-invite-flow,Product,Remove confirmation from Care Circle invite flow,,,2026-05-21,Connection,O2-KR3,Linear-linked,O2-KR2,Process/tooling,L,High,Feature
PRO-474,Ditto Highlight (New-in-Ditto) for Calendar Pull and Follow-up Appointments,https://linear.app/ditto-care/issue/PRO-474/ditto-highlight-new-in-ditto-for-calendar-pull-and-follow-up,Product,(none),,,2026-05-21,Convenience,O2-KR2,Inferred,,New feature,S,No priority,Improvement;mobile
PRO-61,Deploy new AI pipeline after A/B validation,https://linear.app/ditto-care/issue/PRO-61/deploy-new-ai-pipeline-after-ab-validation,Product,AI Quality — Tune Evals and Guardrails,Deploy new pipeline,,2026-05-21,Clarity,O2-KR4,Project-mapped,O1-KR4,AI quality,S,High,ai
AGI-10,"Draft email — Tobias Polak, Ditto Care B.V.",https://linear.app/ditto-care/issue/AGI-10/draft-email-tobias-polak-ditto-care-bv,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-12,Discovery — Macmillan Cancer Support,https://linear.app/ditto-care/issue/AGI-12/discovery-macmillan-cancer-support,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-13,"Research — Gemma Peters, Macmillan Cancer Support",https://linear.app/ditto-care/issue/AGI-13/research-gemma-peters-macmillan-cancer-support,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-14,"Draft email — Gemma Peters, Macmillan Cancer Support",https://linear.app/ditto-care/issue/AGI-14/draft-email-gemma-peters-macmillan-cancer-support,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-16,Discovery — Acme,https://linear.app/ditto-care/issue/AGI-16/discovery-acme,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-19,Discovery — Aviva,https://linear.app/ditto-care/issue/AGI-19/discovery-aviva,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-20,Discovery — Diabetes UK,https://linear.app/ditto-care/issue/AGI-20/discovery-diabetes-uk,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-21,"Research — Carla Belcher, ACME ACO",https://linear.app/ditto-care/issue/AGI-21/research-carla-belcher-acme-aco,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-22,"Research — Richard Simcock, Macmillan Cancer Support",https://linear.app/ditto-care/issue/AGI-22/research-richard-simcock-macmillan-cancer-support,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-23,"Research — David Chaney, Diabetes UK",https://linear.app/ditto-care/issue/AGI-23/research-david-chaney-diabetes-uk,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-24,"Research — Matt McGill, Aviva",https://linear.app/ditto-care/issue/AGI-24/research-matt-mcgill-aviva,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-25,"Draft email — Carla Belcher, ACME ACO",https://linear.app/ditto-care/issue/AGI-25/draft-email-carla-belcher-acme-aco,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-26,"Draft email — David Chaney, Diabetes UK",https://linear.app/ditto-care/issue/AGI-26/draft-email-david-chaney-diabetes-uk,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
AGI-27,"Draft email — Matt McGill, Aviva",https://linear.app/ditto-care/issue/AGI-27/draft-email-matt-mcgill-aviva,Agents,B2B Outreach POC,,,2026-05-22,Clarity,O1-KR2,Project-mapped,,AI agents,S,No priority,agent:outreach
